text,is_toxic
lol happens greedy rich slime keep mass uneducated ignorant deal stupid created trying reason irrational exercise futility get popcorn ready bc boil fall talk fall walking,1
look like brown suicide cop thing,1
look deeper happens black people not put black people situation black people hope learns history,0
hey shout thai writing shirt lol thaipride,0
gal call spot way go mspeggy way go,0
stats dont represent problem race baiting attitude who crime ohh bet trayvon still little innocent boy dont speak lisp sure sign left wing democrat,1
people see herei cannot even understand sayingis black america good world seehow people respect race like see much bad,1
add another imbecile bunch reporter incompetent bastard,1
not blackmany year ago almost shot policei driving friend partying even illegal drug use cardid not even notice cop car behind mewhen light went freakedwe pulled panicked cop bright light uswe trying desperately hide drugsi could hear cop telling get car kept trying hide drugsof course saw going center console maybe get guni told loudlystop put hand see get car tell froze exactly told doif not listen would shotmost likely headi not understand anyone would not cop tell doif say put hand put hand tell step back step back defy person gun threaten shot color nothing,0
till started advocating parent family black community totally lost,0
thank peggy,0
masri close get isi america,1
point trying make black not equal opportunity ferguson suggesting city counsel give young black manwoman job black black people ferguson treated unfairly law enforcement suggesting black community law biding citizen break law less white people cop arrest black citizen fun sport even know true reason black community rioting looting even asked see rioting looting break knoxville young white couple kidnapped brutally rapped eventually murdered black men woman wonder come racism plain stupidity mr brown no angel study fact stay away emotion skin color,0
thanks obama,1
intellectual mature approach case black man many older black men prison dead stuck matrix truthers struggling no older men guide younger male often encounter police without understanding deal cop many role model come rapper advocate violence police deer caught headlight potential life death encounter racism not many black people ranting hate crime clearly assaulted store clerk indicates propensity violence wilson stop pointing finger address problem black teen lack male role model said black people need address alternative dealing suspectsvictims nonlethal weaponry deal encounter race start focus solution possible violent encounter alternative see progress police cannot go protest burn community retalitation police support theory brown product violent environment burning business going solve problem police department counterproductive hoax,0
believe photo gentle giant accomplice giving gang sign no even brown raise hand surrender maybe realized would blown could get trouble officer wilson adrenaline running high reacted officer not hesitate would lose life lord know no thing thug go college look angelic professional athlete keep getting arrested crap fed disgusted,1
might wrong majority black community not vote would not make sense inequality city government,0
almost floor shaving quality cigar cmon keep sensationalism one comment video perfect well thought well put,0
man stuff like really make reconsider world would hitler alive,1
blunt addiction tobacco blunt keep calling another play race card,0
cannot help motherfucker primitive compared white people get frustrated live around white people cannot compete black africa much selfassured not get reminded every day cannot compete multiculturalism not good anybody people throwing fit living tax dollar stolen white people,1
one must fucking stupid one attack police officer expects get away without response police,1
better society greater good michael brown went rail got ushered college life athletic scholarship became brown killer like ohsimpson became olj found civilly liable yknow,1
black people like,0
call researcher plan examine fact yet mention bullshit rumour trayvon martin iced tea skittle fact speculation victim blaming actually stop trying pretend yo examining fact,1
awesome,0
video liberal propaganda used divide people fuel chaos ferguson stay tuned trial fact deciding evil white people source problem mean straight watch trial no fox news cnn msnbc,0
black life matter take black ass home nothin black ass,1
france military taught could use lethal weapon us similarequal superior lethal weapon u another defend using superior weapon notnever allowed think noble french concept b,0
feel thirsty violence rather knowledge,0
worst testtube video ever inequality choice white flight via change demographic etc remaining resident say vote put nominee go city council meeting put grievance councilman etc besides supposedly postracial era america race leader matter oh btw title asked really caused riot seems account answer outoftown lawbreaker,0
ferguson protester flip police car new york time,0
fucking evidence evidence mean fact suspect armed robbery autopsy report evidence show cop innocent god damn,1
internet trolling time high,0
construction worker working area saw incident stated brown hand raised surrendering find interesting witness account limited solely account support minority viewpoint additionally innocent proven guilty mindset oj simpson charged nicoles murder explain shot brown back conveniently omit information witness state brown surrendering except mentioned not seen single picture injury sustained police officer brown allegedly beat actually believe picture existed would not medium not saying officer action motivated racism saying officer probably psychopathic tendency seems type hired police street usa great presentation highly hypocritical,1
micheal brown asked got think shot black racist,0
bad nobody ran hmmmm dumbass life matter stay fuck street duh 🙄🙄,1
think chief problem molyneux great ideal solid worthwhile goal hope share society cannot seem embrace ethical greyness human being frustrates nothing approach morality not believe worth listening political strategist requires recognizing conditionalnature human psychology constructing systemic guide help incentivize positive culture good philosophy crappy political theory,0
run ignorant fuck world better without,1
let u reverse roll black racist cop rich white communitiesbut cannot prove racist white man get pissed intolerable condition unload several clip high caliber ammo point blank range audacity questioning authority american need full alert elitist agenda set president questioning authority elitist upperclass problem prison culture cia drug cartel exporting job importing cheap labor elitist get bailed support corrupt system turn around c get past race issue govt incites divide working class hardly call working class govt put everyone work homeless class let u not get western history role big money play clusterfuck designed destroy nation destroyed point get back ask,1
friend get killed mean burn local home item seems correct,1
not care mike brown bullshit clearly understood youtube guy racist dumb point hold little water full hate lie,1
mr smerconish sir not journalist no journalist say claim interview object heshe searching min fame part interview andor heshe not speak direction wanted anything trying defame person illegal definitively serve time go back school truly obvious not handle word mouth care nor critical enough authority would wait ton paper show knowthat indeed ran stopped hand air got shot multiple time no doubt side happened witness say however investigative journalist go ask people opinion not superior get chair go real reporting shame shame cnn not hiring professional,1
brown piece shit world better without,1
many racist comment hate white sometimes,0
link poor little tryvon martin little mr brown yeah thug tired beat white person ground got shot effordsend story,1
ameland,1
take break bassem making much sense debate,0
leaving information giving police report not ask info lying omission not outright lyingbecause omitted information stupid lawyer,1
people like guy make america shake head nawamsain no fuck not,0
okay blacklivesmovent thug stop carp u wanna stand murder yet child died gettin shoot cheast becasue u wanna act like plant ape movie excuse black killing black u wanna come cop white ppl call u name rastist name u dont get try lisening lawa obeying law stop shooting inncent ppl benfits u guy killing ppl need jail,1
cnnso touchclose idiot people watching comedy reportinglol,1
dumb as people run 😡,1
think alot black people tired gun violence gang ignorance community want stop yes bad people race whats get statement talk thing black commuity people quick say bad people every race say putting black want people better caring self repectful way,0
point think cop point gun know told something provoked,0
shot,1
usa land free baby hahahaha people not living usa thankful everyday worse country earth,1
anyone else pissed ended let walk no big deal crap pulled no one got pepper sprayed,1
look dimwad policeescorting back people held upidiots,1
drive,1
hit nail head black life matter guess not keep killing stupid shit like gang loyalty selling drug instead getting education able get getto take hat parent raise chlidren value pride arecause one make difference not drug dealing gang banger difference going makeis one less holiday dinner,0
garbage policekick jobswhat paid supposed dothey let shit protester blocking thousand people could emergencyi would not surprisedwhen see videothat police like kissing themwhat idiotic law enforcement,1
molyneux spread complete information complete garbage,1
michael brown th person shot week u others notice almost share something common,0
cop make money arresting people easy money no tazing no macing no hurting grab cuff huge safety violation right,0
moving thought,0
no indictmentmoving right along,0
stephan thank video take available information account provides reasonable rational breakdown next video could please call truth police brutality militarization police united state thank steve,0
dude sure seems know good bit smoking weed hmmm according clown black man somewhat gang side factual based photo justified murder unarmed human not ok mfer,1
well bring tear gas beanbag round rubber bullet,1
agree protestor,0
wow,0
old man way tried forever well worked look,0
people disliked video problem man said nothing wrong change not happen not change good thing still numbered,0
proving blocking road,0
no time reported mr brown approached officer officer engaged young men mr brown ran away officer reported fired flight inconsistent would turned confront cop already hit one bullet might not like black folk not listen spin video given no weight eye witness report video discredit dead young man,0
dear mr stephen molyneux minute bit long right respond fact btw voted thumb number not even blink tried thumb must say thing happened fair thank homework hard work obviously spent lot time present case u nice obviously care much country best,0
arrest,0
u navy vet mad respect,0
well damn good,0
thank truth speaking innocent,0
bassem masri criminal thug psychopath no credibility no humanity need locked jail cell time rubberroom straightjacket bassem get intellectually dishonest butt community,1
anyone stupid enough stand roadway run die improve gene pool,1
music reference sex drug stealing murder etc ya pretty much rap music like,0
info put mike brownwhy nobody bringing fact darrin wilson tested positive illegalmood alteringnon prescription steroid post shooting toxicology test one also wonder info given grand jury doubtful,0
everyone saying micheal brown deserved treyvon martin eric garner,0
lol look got,0
muslim uk black brother sister america,0
black want respect speak act dress like huxtable family want treated prejudice speak act dress like known gangster steal thing act like street,1
c blk life matter bullshitwitch call bullshit black people killed five period newark nj call bullshitb,1
respect,0
back africa still thing cause seem like really not like hereand not working outmaybe turn continent around,1
agree sista,0
dumb fuck screwing fellow citizen instead protesting police 🤦‍♂️,1
cop need look video start arresting people,0
mike brown father not buy ithe got caught video saying burn bitch reffering fergusonand dude interviwing thug not given air time,1
hope next video entitled truth ferguson police department ferguson riot thanks usual quality research two issue match gasoline riot control otherwise peaceful protestors homeowner refusing go inside member press clear symptom something normal small town police sanford police similar protest incuding looting resisted escalation,0
tax dollar get spanking new cop car 😔,0
urban youth could not handle truth presented video,0
protest converted riot majority people wanted not fooled politician play serious game common man take care everyone save humanity peace,0
ridiculous liberal tripe meant divide u along raceclass barrier even blacksi refuse use word african american oppressed local government community band together vote vote black live democratic republic sorry argument nothing excuse criminal stats result large black community black really need stop listening democrat preach cannot win deck stacked oppressive lifestyle never rise current condition cling liberal excuse not color skin overall presentation,0
guy monster got deserved color not matter anyone attack guy gun gonna get shothe stupid illegal act tried hurting someone got blasted give cop raise,1
gotten fire dept fire truck blast water jet would get,1
protestors work living get time,0
blacklivesmatter built deceit lie,1
injury cop get treated,0
look people black life matter like white life mike brown life lawfully ended police officer assaulted mike brown suspect aka mr brown football player ft inch not mention high marijuana officer ft inch armed baton gun telling mr brown put hand witch evidence show not shot assaulting officer say well not officer well unless police officer cannot say officer something stupid done something else officer attacked man much larger not time stop think hmmm maybe not defend maybe let kill,0
hahahahaha molyneux reciting rap lyric intense,0
deserved killed smoke weedlike fightingthrow gang sign allegedly stole cigar,0
stef stateless society discussion existence cop useless know cop protect state corporation take decision existence people two second waw,0
people fuck america american fucking hate,1
fuck stupid as generation id like apologize generation agree people right protest speak etc love god don’t mess people didn’t anything get petition signed write government gotta fuck everyone’s day,1
yeah course go college money come pel majority negro drop half way semester,0
best honest black people ever know,0
magic hamster drank lot lean never heard anyone using skittle lean jolly rancher ideal candy use not magic hamster not doubt someone using skittle lean want point houston lean quoteunquote created magic hamster prefer use jolly rancher lean,0
god bless lady wish people like intelligence god bless little girl lost life thug sad not single one animal care black life matter as innocent life matter,0
didnt police job arrest idiot blocking public road ridiculous people arrested ran stupid not freeway,1
no talk get fucker road period would run let sue,1
plain n simple truth,0
stefi agree fact case grey however realize cop getting caught act unjustified violence daily base getting caught video writing narrative brutality thuggery public not tolerate longer police brutality recording police dangerous necessary,0
not interview constitution worker caught tape saying u shot hand,0
think indecent unessacerry event one person shot mr brown stole something not intirely police officer fault,0
comment fucking ridiculous seeing video year know “hands don’t shoot” bullshit still tragedy let’s not keep exploiting man death no good come anyway shape form,1
plow get way,1
act like animal get treated like animal,1
cannot life understand people think mike brown martyr cause man criminal black people criminal absolutely not white criminal hispanic criminal betcha situation exactly race reversed would not issue,1
run,1
bad riot shotgun not loaded live round,1
live st louis scary,0
one race human race,0
always mr molyneux excellent video,0
cop need given wide latitude self defense considering threat face incapacitated high chance executed dam gunnoone seems care shit,1
thinking getting bunch fact lean not made skittle iced tea wilson not know robbery video bunch poppy cock thank wasting time,1
agree people arm need find information rioting thinking getting high drug robbing store carelessly walking middle street screaming cop attacking reaching gun unarmed not mention size either people gullible find funny race racist black racist white every single time someone racist black person everyone throw hand get pissed white people not racist person not want sit everyone belief white people racist people happened past make sick think grow generation,0
shoot first ask question later hahahahahaha,1
piece shit no business wearing even chp uniform,1
bad weapon not discharged,1
fact michael brown legal adult robbing store time assaulted someone store assaulted cop assault cop mostly likely go get shot racist,0
u justice department audited ferguson police department found count excessive use police force africanamericans addition found email containing discriminatory language department computer federal government pursuing criminal case ferguson police department wonder bob mcculloch try defend one,0
go girl listened twice retweeted twice first gateway pundent second youtube god bless m hubbard god speed vid,0
ayy cnn lookin like pussy,1
thought mezzican,0
tear gas banned geneva convention really stupid cunt also assaulted man earlier day assaulted police officer thats violent felony add big thug tell saying unarmed shouldnt shot fucker tried take cop gun already tell would outraged thug killed cop double standard one say different stupid asthese two,1
bassem masri terrorist part isi,1
come call black african american not european american white,0
race much news article got no national medium attention last week,0
can’t believe people really believe leading kind revolution,0
cnn propaganda part people let hear ferguson,0
get pay protest ask protesting no idea flow along mean would run fuck system u cant arrest drive thru arrest fuck system america ok voice right no right block traffic,1
lmao read dude rap best part,0
warning round gatling gun clear freeway instant,1
think fell love,0
good job determining occurred brown killed however occurred not simple matter racism police abuse anything mentioned question everything pull back curtain see wizard illusion one life energy sacred turn tv peace love appreciation,0
peggy watch life leadership revolution video people smart good mentor really think research training would great leader keep great work,0
understand point black life matter blocking traffic like like wth gonna people need go place hospital familywork etc plane stupid,1
masri total idiot not know evidence come conclusion instead clue dont attack cop try take gun rush finally get car wont get shot duhhh would masri take brown icecream beating ground not defend btw brown momma gramma violently assaulted people selling tshirts memory brown put two people hospital stole money trashed shop probably charged know sort mentality brown raised thug wanna caused death,1
wait area majority african american not make since majority people pulled searched arrested area would african american well,0
people would obey law like normal human being would never happen winner,0
good quality,0
say sound spitting arab expression,0
pathetic pseudo philosophy vile little man,1
crazy everyone like video actually watching video min video min long lol,0
people know ground saying people ferguson saying not blackwhite thing cop stepping boundary said protest daylight peaceful tailgate like cop come militarylike overreactive fwiw,0
man good fighting back hope minority dont get rained national guard look wepons acting like war,0
love every thug deserves slug,1
gentle gentl giant,0
cruel mom,0
michael smerconish little bitch like subtly try insult guy guy laugh really show low cnn stoop garbage hole cnn become piece as sucking work michael smerconish guess no wonder home not watch cnn crap news network,1
people road goddamn kid,0
implying ferguson black elected appointed official white mean majority people ferguson not represented mostly black population would not happen voted support white official median income lower mo u whole population mostly black statistic,0
guess get away since label title police title label low life thug addict guess behind bar smh,0
good commentary perceptive fair,0
truth delivered courage conviction not political correctness reach heart mind honest productive hardworking people lady say like,0
mmh year already still moronic bullshit going shit as country,1
america day coming end emigration rate multiplying year mostly wealthy individual poor unskilled flooding unchecked goodbye america good run,0
freakin go girl,0
act like gentleman treated like gentleman someone not act like gentleman,0
michael brown rob store assaulted store owner fought police officer darren wilson police window went officer gun shot killed brown not shirt saying not armed happens criminal activity regardless color skin linch mob mentality not get way public pressure fact support brown activity day wonder brown wanted death suicide cop family could sue,1
omg started rapping lost lmao,0
wish much type protester come would arrested fined taught law,0
people say black play victim according comment fault elected officals racist white good thing going missouri racist white folk point finger take punk bitch power goin back racism deport everyone else,1
someone taken one team plowed right,1
thank speaking problem black community,0
awesome job peggy thank telling truth westandwithpeggyhubbard,0
find insane black people always play racist card every single little issue coincidental whiteblack situation case race nothing also say want justice go around destroying private property looting shop right mind would ask justice rob destroy people lively hood time though black community think perfectly acceptable black person kill white cop cop follows procedure defends self potential fatal attack get angry yeah black guy might not firearm could easily knife something value black people white law enforcement officer life equal understand officer defended self attack yes attack,1
mlk saw would cry,0
haha big old fucking made censor,0
rememberthe lootingstealing black purely gain free goodsall name mike brownyea rightit excuse stealpure simplea good concise introspective steffansome folk live grievancethis follows perfectly white guilt segmentkeep em rollin,1
need able call people gun ca citizen completely disarmed north hollywood bank heist would much shorter city people havent stripped nd ammendment right,1
lady first guest speaker al sharpton’s rally seriously,0
lmfao,0
police brutality affect everyone not black issue made black issue people not black tend stop listening end racial profiling police not fuck everyone police not care color not policeman fuck look youtube notice brutality not discriminate stop racial bullshit want cop finally held accountable powertripping action need realize playing whole black black black card make people not black feel less sympathetic every race issue,1
wow think going buy bullet proof vestshit black like everybody tryin shoot,1
police officer wearing camera lapel issue would open shut case,0
stefan fan rep river,0
anna dumb as n joe rogan no clue sayinganna go porn something n leave job one intelligent,1
run stupid as stupid enough stand middle freeway,1
white supremacy best,1
go back period big mouth moron,1
fucking commie not even know happened,1
hmm maybe there depth subject comment section nope bunch degenerate,1
moron talking peaceful burning nation flag idiot even though suppose old no knowledge baby making noise,1
excellent would mediaslaves u wait speak outso get lost next tragedy travesty happening going since thee origin usa nøbody free thee illusion real thee struggle experiencing collision experiment psychological warfare attrition typing thatalways aware baiting not allow create helter skelter,0
great footage wish news caster would shut minute police officer started talking let play outthat would much interesting hearing comment,0
sure people protesting actually protesting believe people taking advantage sad situation cause much chaos damage hurting community,0
oh politician style oratory peggy hubbard one short video ring message loud clearto listen ok england thankfully not gun culture seen enough american scene time know peggy drop hangwringing crap tell word written posted white housemavbe someone would listen act,0
fun fact not live ammo gun rubber slug,0
lmao not agree rioting violent protesting good stuff,0
massri need education,1
pepper spray cunt run,1
patient ever ambulance get injured worse can’t make hospital protestors liable die protestors charged man slaughter,1
police dont try shoot leg arm body part immobilize someone every time officer fire weapon using deadly force trained aim centre mass not part body,0
one best breakdown seen yet need slow think act thing,0
guy little biased sure maybe bring fact taser used could avoided forensics tell truly happened highly doubt mike brown needed shot six time calling back no one said cop hero handle two kid especially acted aggressively say cop completely right racist stefan come crazy cop held higher standard first cop mistake not calling backup second trying get door right kid lol not remember training u get space handle situation better uncle cop told also taser first move mike charging even pursued block away waited back,0
oh god fucking love arab guy wise word seriously someone open eye world see thing rare world today big fucking amen guy wake fuck america,1
nothing hypocritical movement claiming support black blocking probably hundred black trying get job feed god damn family,0
working poor white fear kid would profiled like whole life get searched every time get stopped no record love fucking hope better kid,0
testtube please explain black get stopped searched white white get make population get searched time black make population get searched time pretty obvious white likely get searched want explain find someone team actually remembers basic grade school math could go wrong video seems already explained others seriously enjoy watching channel bias strong one almost made want unsubscribe,0
hell care people peacefully protesting police feel threatened gonna act say blow fucker face tg follows riot,1
omg dumbass protester preventing cop job whining really really hate people protest like edit look ugly as black girl big eye,1
one thing think people forget riot ferguson human combat mind wrapped race not focused enough people,0
remembermichael brown young teen boy happened built like linerbacker robbed convenience storehe pillar community,0
understand committed robbery offense deserve die put jail not end life trayvon martin going buy skittle not deserve death either totally biased white would labelled troubled teenager peer pressured commit crime,0
cop mooing people beginning,0
man stef spitting fire hot enough make dylan jealous,0
michael brown asian name would dindu nuffin wong,1
fucking fuck cannot even defend properly joke,1
ignorant,0
idiot reporter survey percent black involved following gang activity shoplifting car jacking robbery robbery assault teenage pregnancy,1
moly loooooooooooooooooooooooves cop witness also clueless riot also decade police violence repression areaalso ignorant effect marijuana,0
every time interviewed person noticed ghetto clearly see education preschooler ever protested incredible stupid stuff dr martin luther king jr would disappointed respect ignorant black people like always ruining thing say not anything always victim wake stupid guy not one making america look stupid,1
cannot tell racist cop dumb guy messing cop hate make michael brown seem like holy man not not make right kill confusing,0
wonder big crater thug brown made street met final shot melon get sew blm truth fact not shit kitchen get right direction toilet,1
michale brown got asking black protestors racist white happening,1
always good moderate understanding saw woman scrubsscrew black life matter movement hope dy,1
anyone tell racist white man shoot black man not racist black man shoot white man case turn instantly racist one make no sense,0
national guard called hint riot national guard really spook rioter,0
not give fuck protesting not block fucking traffic cunt piss everyone elses day honestly cunt law intentionally block traffic driver reserve right run fuck quickening darwinism process anyway,1
not want justice see mob mentality action guilty no matter grand jury say no matter evidence say let u hang nearest tree officer right need learn speak proper english get job bigger racest white crowd would jail,1
racial profiling police intimidation robbed store got killed result fucking excuse man black people not get arrested commit strong arm robbery black people get violent not fear getting put like animal actually said not worry warrant lol fucking piece human garbage,1
look ready cut head must isi sympathizer going say maybe care issue hand want go loot store fuck shit,1
people get killed cop usa every year cop would kill many country would streat protest no matter dead man white black comment many white people dont give fuck dead black man dont get every unnecessary dead mater,1
fuck medium bassem right find something real investigate exaggerating want view money fuck selfish fuck people disgusting not know bare nasty self,1
keep letting real people get front camera truth told purest form,0
not protest,0
news fucktardspuppet playersall paid liar,1
agree report certainly think event went ferguson need investigated statistic support targeting particular race number stop search certainly explained away fact population region particular race given greater opportunity someone stopped likely going race think analysis would need conducted make collation not saying race not factor saying statistic misleading need considered thoughtfully stating support statement,0
moral story not reach cop gun probably gunna get shot white black,0
hey last week kansa city mo black man snuck retirement housing broke house beating year old couple death went outside attempted hot wire antique car three neighbor came townhouses mr howell afro american took gauge shot gun executed blowing head one armned known felon gotten previous murder charge could not find young girl bodynow ok ol white peoplecaucasianswhere al sharpeton jesse jackson,1
sue time wast,0
spin way want could thug police officer would not know either way unless previous offense remembered not not weapon police trained not shoot six time fact never truly know fact go sign petition police officer wear camera chest no debate seems threatening,0
thumb upped video clarify joe rogans commentary not ignorance ana spews not mean ignorant necessarily disparaging mean not really understand situation,0
would walk right past cop pepper spray boy cannot wait free pas beat protester as,1
people saying cop justified here new video witness saying mr brown hand,0
check tube post black man go epic rant ferguson rioter although message delivered childish cartoonish emotion one african american get,1
dems big as gun 😂😭,1
u job fucking loser get way,1
since know never held hand anyone raise hand show police ferguson racist scumbag watch tv count lot racist scumbags,1
time would want see sniper bush start picking one one,1
every time not agree police going go burn everything no relation not agree call protesting people fucking stupid deevolving,1
police car far away body officer realy good shot assaultedthis b wake believe deluded start vid pointing medium portrayed gentle giant go use similar tactic discredit mb ref pot making rap music guy making vid dad would leave town ever,0
agree time race war,1
sad watch youtube video get non biased report going ferguson thank,0
no state no cop no cop no shooting state problem right anarchocapitalists like steffan agree nonsense,0
said nigga way many time,0
yall racist fuck god please bless america,1
focus roll blunt mj not cause happens much like non criminal type criminal type also smoke pot pot absolutely nothing fact walking not driving important bring pot relative intel yes criminal tendency smoke pot criminal also tend smoke cigarette drink,0
white weak,1
statement think ali sheep butt fucker masri take ak go fight syria,1
useless cop talk protester instead breaking head,1
integration black people school business bank integration lost every thing,1
useless people standing middle road screaming useless shit,1
