text,IsToxic,IsAbusive,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsThreat,IsReligiousHate,IsNationalist,IsSexist
pretty woman dang,False,False,False,False,False,False,False,False,False,False
like black racist white ppl without consequence keep nice new world live keep,True,False,False,False,True,True,False,False,False,False
find amusing protester claim fighting racism yet blind racism several report black people attacking white people couple day ago reported white man beaten death hammer black teen st louis yeah clearly no racial intent fucking hypocrite,True,True,True,False,True,True,False,False,False,False
michael brown thug god bless thin blue line graduate police academy december,True,False,False,False,True,True,False,False,False,False
see impose gunlaws fact even machine gun people could not anything police car body protection like tank wanted say,False,False,False,False,False,False,False,False,False,False
majority people ferguson african american elected official not african american mayor city council police chief elected official people community not stepping fill role,False,False,False,False,False,False,False,False,False,False
yet another reason police need wear av recording device time people well really help ensure truth maintained time imagine officer pov camera would show situation,False,False,False,False,False,False,False,False,False,False
police not militarized,False,False,False,False,False,False,False,False,False,False
white folk always asked would cop something could ruin career answer know get away know chief fellow cop cover know white folk asshole like make excuse slim none chance trial kind always acquit,False,False,False,False,False,False,False,False,False,False
amen amen sister go strong black woman got back,False,False,False,False,False,False,False,False,False,False
shooting not one thing black black people make black issue bottom line grown man robbed store ignored police order people think ok protest behalf thug no respect law yes shame came death hadnt thief would still alive hear bullshit black gotta gotta hard street streetsblah blah blah wear hard living like badge honor no honor country hey let go steal cigarillo make blunts worsen already ghetto,True,False,False,False,True,True,False,False,False,False
white man cannot finish sentence america need wake upthe truth murder,True,True,False,False,True,True,False,False,False,False
someone shoot black idiot would make giggle inside,True,True,True,False,True,True,False,False,False,False
would stop cost came black community created no responsibility no worry,False,False,False,False,False,False,False,False,False,False
say black piece came bit stiff due repeated use african american,False,False,False,False,False,False,False,False,False,False
get job,True,True,True,False,False,False,False,False,False,False
made song addressing ferguson issue today please listen thank tha bigger picture soundcloud listen tha bigger picture kool np soundcloud,False,False,False,False,False,False,False,False,False,False
bassem right express himselfwe freedom expressionwe rightits amendment constitutioni dont think cnn competent,False,False,False,False,False,False,False,False,False,False
da fuck gay as bald white frenchy nigga gonna set hisself dang judge whole criminal conspiracy micheal brown mothafuckin hand air son u smart u know nigga hand mothafuckin air sign showin innocent tha crime sorry cussin shit internationally recognized indication innocence part perpetrator yall nigga medium plain old fashioned example murder first degree part mr officer darren wilson takin life nigga college student nigga kent state protestin get ass shot historic event michael brown shot dead street takin part ferguson protest yall medium mothafuckas try explain away,True,True,False,True,False,False,False,False,False,False
black young woman like stefan think need people like country,False,False,False,False,False,False,False,False,False,False
watching video clear stefan seems buy argument favor white police officer not dead black kid watched video posted see patter bias exist sure enough repeated patter argument tryvon martin soyou convince like minded not different alex jones many white conservative pretend system affect white people minority black fair game stefan keep preaching one sided view gain many white admirer share view,False,False,False,False,False,False,False,False,False,False
bassem masri well said bro,False,False,False,False,False,False,False,False,False,False
peggy know many fine black woman men like sick tired violence blame thanks speaking,False,False,False,False,False,False,False,False,False,False
sure michael brown knew killer young girl considered homeboy,False,False,False,False,False,False,False,False,False,False
case presented grand jury not return indictment apparently militarized police state gunning unarmed teen time unevolved racist used hide behind white hood hide behind computer screen police badge,True,True,True,False,False,False,False,False,False,False
jerk made b story skittle arizona ice tea component lean actual promethazine pharmaceutical drug easy get street level guy quake antebellum period dreamer negro live beneath need realize really not much better statistic would say white well fair white committ violent crime anyone pls come white savior b,False,False,False,False,False,False,False,False,False,False
no idea cop mooed always thought oinked learn something new every day,True,True,False,False,False,False,False,False,False,False
never argue idiot,True,True,False,False,False,False,False,False,False,False
peace need found side stubborn relentless peaceful not go work sit step power day chant concern “fear path dark side fear lead anger anger lead hate hate lead suffering” yoda,False,False,False,False,False,False,False,False,False,False
ignorance law no excuse usc deprivation right color law,False,False,False,False,False,False,False,False,False,False
gentle giant seems robbed store later assaulted armed police officer much school boy look hoping thug life come high price,True,False,False,False,True,True,False,False,False,False
need search youtube actual cnn doctored audio michaelbrown shooting cnn caught changing evidence﻿,False,False,False,False,False,False,False,False,False,False
dis furgusun de unitid stateth murka retard start violent protest try pawn police state lie cop arrive,True,True,True,False,False,False,False,False,False,False
lot driver banded together collectively beat living shit every one little prick,True,True,False,False,False,False,True,False,False,False
wish joe would gone fear factor eat fresh steaming pile shit mouth would full not hear worthless cunt speak,True,True,False,True,False,False,False,False,False,False
glad protestors affect many people give public reason hate,True,True,True,False,False,False,False,False,False,False
really hard open fire,True,True,True,False,False,False,False,False,False,False
without badge bitch half fuck police,True,True,False,False,False,False,False,False,False,False
fuck need military police civilian like wanna bring new gear dress like soldier strut around trying look tough,False,False,False,False,False,False,False,False,False,False
dude fuck punk police,True,True,False,True,False,False,False,False,False,False
omg stefan rap hysterical anyway good news guess know whatshisname douche deserved die premptive strike made officer darren wilson huzzah another trash taken street probably cure disease rather treat symptom though disease ignorance selfentitlement community lower class getting poverty isnt easy starting point isnt easy still feasible right amount drive,True,True,True,False,False,False,False,False,False,False
video would interesting stefan taking clothes sexy case really not hard understand would cop good record year service shoot teenager hand witness friend lied started protest snowball effect ensued watch video store show brown aggressive hard believe evidence made huge error judgement fighting police officer no not,False,False,False,False,False,False,False,False,False,False
idiotz,True,True,False,False,False,False,False,False,False,False
dealt force,False,False,False,False,False,False,False,False,False,False
mr stefan molyneux mr wilson drive multifple story therefore deserve fair trial wilson law enforcer firm happened would good wilson speaks would truly respect officer would talk public seems hiding,False,False,False,False,False,False,False,False,False,False
omgyou not give whole story gave one side half,False,False,False,False,False,False,False,False,False,False
really say trevon martin brought watermelon skittle make lean lol yo white ppl say aaannnyything make blk ppl look certain way trutheven trevon said no limit nigga fuck whatkids say dumb thing time said batman lol sicken make kind excusewhy dont u talk second video tbat came year mike brown situation cop said didnt think important showed mike made trade store owner no robbery lol u talk corruption police medium withholding information,True,False,False,False,True,True,False,False,False,False
love lady need strong woman like peggy hubbard,False,False,False,False,False,False,False,False,False,False
never racist almost make one ofc dont mean get idea,False,False,False,False,False,False,False,False,False,False
day conservative support confederate flagdenies racismand criticize black people deemed hero white people lmao please get white woman black face screen,True,False,False,False,True,True,False,False,False,False
video actually happen simply trying smear young man’s image wanted rapper stole cigar nothing side video deserves death sentence also released new video officer wilson showing no injury show officer wilson not truthful incident perhaps need wait detail post bias video you’re going post video make sure accurate not mention friend criminal stated brown giving black white witness nothing incident stated hand surrendering wilson shot,False,False,False,False,False,False,False,False,False,False
question park cruiser front protester 🤔🤔,False,False,False,False,False,False,False,False,False,False
hoax,False,False,False,False,False,False,False,False,False,False
need people like peggy hubbard support mother year common sense,False,False,False,False,False,False,False,False,False,False
brown stepfather pant half way,True,True,False,True,False,False,False,False,False,False
something wrong audio,False,False,False,False,False,False,False,False,False,False
hear guy saying policeman stated year service officer died weapon one shoot execution style whatever fuck officer wilson let pound guy run fthe big run fast assume not take ft tell brown freeze shoot b way tell,True,True,True,True,False,False,False,False,False,False
relevance marijuana autopsy show entry wound spread body close range spread would tight hitting region likely chest area long range spread would dispersed see report wound underside arm exposed arm raised gesture peace ie hand empty away body pose plus no powder burn body far away,False,False,False,False,False,False,False,False,False,False
not think somebody deserves die stole cigar fine criminal put legal process humane kill american treat felon criminal like dog moment commit minor crime like stealing cigarette smoking weed no longer human not right one rap made bad quality tone not think matter lot people produce rap music considering biggest rapper always talk smoking weed bitch killing people no surprise brown probably inspired crime brown stealing cigar tell white person went convenience store stole alcohol got shot not even hour later police would justify police shooting,False,False,False,False,False,False,False,False,False,False
stop criminal wont get shot simple,True,True,True,False,False,False,False,False,False,False
yea fuck store clerk dare try job,True,True,True,True,False,False,False,False,False,False
lol happens greedy rich slime keep mass uneducated ignorant deal stupid created trying reason irrational exercise futility get popcorn ready bc boil fall talk fall walking,True,True,False,False,False,False,False,False,False,False
look like brown suicide cop thing,True,True,True,False,False,False,False,False,False,False
look deeper happens black people not put black people situation black people hope learns history,False,False,False,False,False,False,False,False,False,False
hey shout thai writing shirt lol thaipride,False,False,False,False,False,False,False,False,False,False
gal call spot way go mspeggy way go,False,False,False,False,False,False,False,False,False,False
stats dont represent problem race baiting attitude who crime ohh bet trayvon still little innocent boy dont speak lisp sure sign left wing democrat,True,False,False,False,True,True,False,False,False,False
people see herei cannot even understand sayingis black america good world seehow people respect race like see much bad,True,False,False,False,True,True,False,False,False,False
add another imbecile bunch reporter incompetent bastard,True,True,False,False,False,False,False,False,False,False
not blackmany year ago almost shot policei driving friend partying even illegal drug use cardid not even notice cop car behind mewhen light went freakedwe pulled panicked cop bright light uswe trying desperately hide drugsi could hear cop telling get car kept trying hide drugsof course saw going center console maybe get guni told loudlystop put hand see get car tell froze exactly told doif not listen would shotmost likely headi not understand anyone would not cop tell doif say put hand put hand tell step back step back defy person gun threaten shot color nothing,False,False,False,False,False,False,False,False,False,False
till started advocating parent family black community totally lost,False,False,False,False,False,False,False,False,False,False
thank peggy,False,False,False,False,False,False,False,False,False,False
masri close get isi america,True,True,False,False,False,False,False,False,False,False
point trying make black not equal opportunity ferguson suggesting city counsel give young black manwoman job black black people ferguson treated unfairly law enforcement suggesting black community law biding citizen break law less white people cop arrest black citizen fun sport even know true reason black community rioting looting even asked see rioting looting break knoxville young white couple kidnapped brutally rapped eventually murdered black men woman wonder come racism plain stupidity mr brown no angel study fact stay away emotion skin color,False,False,False,False,False,False,False,False,False,False
thanks obama,True,True,True,False,False,False,False,False,False,False
intellectual mature approach case black man many older black men prison dead stuck matrix truthers struggling no older men guide younger male often encounter police without understanding deal cop many role model come rapper advocate violence police deer caught headlight potential life death encounter racism not many black people ranting hate crime clearly assaulted store clerk indicates propensity violence wilson stop pointing finger address problem black teen lack male role model said black people need address alternative dealing suspectsvictims nonlethal weaponry deal encounter race start focus solution possible violent encounter alternative see progress police cannot go protest burn community retalitation police support theory brown product violent environment burning business going solve problem police department counterproductive hoax,False,False,False,False,False,False,False,False,False,False
believe photo gentle giant accomplice giving gang sign no even brown raise hand surrender maybe realized would blown could get trouble officer wilson adrenaline running high reacted officer not hesitate would lose life lord know no thing thug go college look angelic professional athlete keep getting arrested crap fed disgusted,True,False,False,False,True,True,False,False,False,False
might wrong majority black community not vote would not make sense inequality city government,False,False,False,False,False,False,False,False,False,False
almost floor shaving quality cigar cmon keep sensationalism one comment video perfect well thought well put,False,False,False,False,False,False,False,False,False,False
man stuff like really make reconsider world would hitler alive,True,False,False,False,True,True,False,False,False,False
blunt addiction tobacco blunt keep calling another play race card,False,False,False,False,False,False,False,False,False,False
cannot help motherfucker primitive compared white people get frustrated live around white people cannot compete black africa much selfassured not get reminded every day cannot compete multiculturalism not good anybody people throwing fit living tax dollar stolen white people,True,False,False,False,True,True,False,False,False,False
one must fucking stupid one attack police officer expects get away without response police,True,True,False,True,False,False,False,False,False,False
better society greater good michael brown went rail got ushered college life athletic scholarship became brown killer like ohsimpson became olj found civilly liable yknow,True,False,False,False,True,True,False,False,False,False
black people like,False,False,False,False,False,False,False,False,False,False
call researcher plan examine fact yet mention bullshit rumour trayvon martin iced tea skittle fact speculation victim blaming actually stop trying pretend yo examining fact,True,True,True,False,False,False,False,False,False,False
awesome,False,False,False,False,False,False,False,False,False,False
video liberal propaganda used divide people fuel chaos ferguson stay tuned trial fact deciding evil white people source problem mean straight watch trial no fox news cnn msnbc,False,False,False,False,False,False,False,False,False,False
black life matter take black ass home nothin black ass,True,False,False,False,True,True,False,False,False,False
france military taught could use lethal weapon us similarequal superior lethal weapon u another defend using superior weapon notnever allowed think noble french concept b,False,False,False,False,False,False,False,False,False,False
feel thirsty violence rather knowledge,False,False,False,False,False,False,False,False,False,False
worst testtube video ever inequality choice white flight via change demographic etc remaining resident say vote put nominee go city council meeting put grievance councilman etc besides supposedly postracial era america race leader matter oh btw title asked really caused riot seems account answer outoftown lawbreaker,False,False,False,False,False,False,False,False,False,False
ferguson protester flip police car new york time,False,False,False,False,False,False,False,False,False,False
fucking evidence evidence mean fact suspect armed robbery autopsy report evidence show cop innocent god damn,True,True,False,True,False,False,False,False,False,False
internet trolling time high,False,False,False,False,False,False,False,False,False,False
construction worker working area saw incident stated brown hand raised surrendering find interesting witness account limited solely account support minority viewpoint additionally innocent proven guilty mindset oj simpson charged nicoles murder explain shot brown back conveniently omit information witness state brown surrendering except mentioned not seen single picture injury sustained police officer brown allegedly beat actually believe picture existed would not medium not saying officer action motivated racism saying officer probably psychopathic tendency seems type hired police street usa great presentation highly hypocritical,True,True,True,False,False,False,False,False,False,False
micheal brown asked got think shot black racist,False,False,False,False,False,False,False,False,False,False
bad nobody ran hmmmm dumbass life matter stay fuck street duh 🙄🙄,True,True,True,True,False,False,False,False,False,False
think chief problem molyneux great ideal solid worthwhile goal hope share society cannot seem embrace ethical greyness human being frustrates nothing approach morality not believe worth listening political strategist requires recognizing conditionalnature human psychology constructing systemic guide help incentivize positive culture good philosophy crappy political theory,False,False,False,False,False,False,False,False,False,False
run ignorant fuck world better without,True,True,True,True,False,False,False,False,False,False
let u reverse roll black racist cop rich white communitiesbut cannot prove racist white man get pissed intolerable condition unload several clip high caliber ammo point blank range audacity questioning authority american need full alert elitist agenda set president questioning authority elitist upperclass problem prison culture cia drug cartel exporting job importing cheap labor elitist get bailed support corrupt system turn around c get past race issue govt incites divide working class hardly call working class govt put everyone work homeless class let u not get western history role big money play clusterfuck designed destroy nation destroyed point get back ask,True,False,False,False,True,True,False,False,False,False
friend get killed mean burn local home item seems correct,True,True,True,False,False,False,False,False,False,False
not care mike brown bullshit clearly understood youtube guy racist dumb point hold little water full hate lie,True,True,False,False,False,False,False,False,False,False
mr smerconish sir not journalist no journalist say claim interview object heshe searching min fame part interview andor heshe not speak direction wanted anything trying defame person illegal definitively serve time go back school truly obvious not handle word mouth care nor critical enough authority would wait ton paper show knowthat indeed ran stopped hand air got shot multiple time no doubt side happened witness say however investigative journalist go ask people opinion not superior get chair go real reporting shame shame cnn not hiring professional,True,True,True,False,False,False,False,False,False,False
brown piece shit world better without,True,True,False,False,False,False,False,False,False,False
many racist comment hate white sometimes,False,False,False,False,False,False,False,False,False,False
link poor little tryvon martin little mr brown yeah thug tired beat white person ground got shot effordsend story,True,False,False,False,True,True,False,False,False,False
ameland,True,False,False,False,True,True,False,False,True,False
take break bassem making much sense debate,False,False,False,False,False,False,False,False,False,False
leaving information giving police report not ask info lying omission not outright lyingbecause omitted information stupid lawyer,True,True,False,False,False,False,False,False,False,False
people like guy make america shake head nawamsain no fuck not,False,False,False,False,False,False,False,False,False,False
okay blacklivesmovent thug stop carp u wanna stand murder yet child died gettin shoot cheast becasue u wanna act like plant ape movie excuse black killing black u wanna come cop white ppl call u name rastist name u dont get try lisening lawa obeying law stop shooting inncent ppl benfits u guy killing ppl need jail,True,False,False,False,True,True,False,False,False,False
cnnso touchclose idiot people watching comedy reportinglol,True,True,False,False,False,False,False,False,False,False
dumb as people run 😡,True,True,True,True,False,False,False,False,False,False
think alot black people tired gun violence gang ignorance community want stop yes bad people race whats get statement talk thing black commuity people quick say bad people every race say putting black want people better caring self repectful way,False,False,False,False,False,False,False,False,False,False
point think cop point gun know told something provoked,False,False,False,False,False,False,False,False,False,False
shot,True,True,True,False,False,False,False,False,False,False
usa land free baby hahahaha people not living usa thankful everyday worse country earth,True,False,False,False,True,True,False,False,True,False
anyone else pissed ended let walk no big deal crap pulled no one got pepper sprayed,True,True,False,True,False,False,False,False,False,False
look dimwad policeescorting back people held upidiots,True,True,False,False,False,False,False,False,False,False
drive,True,True,True,False,False,False,False,False,False,False
hit nail head black life matter guess not keep killing stupid shit like gang loyalty selling drug instead getting education able get getto take hat parent raise chlidren value pride arecause one make difference not drug dealing gang banger difference going makeis one less holiday dinner,False,False,False,False,False,False,False,False,False,False
garbage policekick jobswhat paid supposed dothey let shit protester blocking thousand people could emergencyi would not surprisedwhen see videothat police like kissing themwhat idiotic law enforcement,True,True,True,True,False,False,False,False,False,False
molyneux spread complete information complete garbage,True,True,True,False,False,False,False,False,False,False
michael brown th person shot week u others notice almost share something common,False,False,False,False,False,False,False,False,False,False
cop make money arresting people easy money no tazing no macing no hurting grab cuff huge safety violation right,False,False,False,False,False,False,False,False,False,False
moving thought,False,False,False,False,False,False,False,False,False,False
no indictmentmoving right along,False,False,False,False,False,False,False,False,False,False
stephan thank video take available information account provides reasonable rational breakdown next video could please call truth police brutality militarization police united state thank steve,False,False,False,False,False,False,False,False,False,False
dude sure seems know good bit smoking weed hmmm according clown black man somewhat gang side factual based photo justified murder unarmed human not ok mfer,True,True,False,True,False,False,False,False,False,False
well bring tear gas beanbag round rubber bullet,True,True,True,False,False,False,False,False,False,False
agree protestor,False,False,False,False,False,False,False,False,False,False
wow,False,False,False,False,False,False,False,False,False,False
old man way tried forever well worked look,False,False,False,False,False,False,False,False,False,False
people disliked video problem man said nothing wrong change not happen not change good thing still numbered,False,False,False,False,False,False,False,False,False,False
proving blocking road,False,False,False,False,False,False,False,False,False,False
no time reported mr brown approached officer officer engaged young men mr brown ran away officer reported fired flight inconsistent would turned confront cop already hit one bullet might not like black folk not listen spin video given no weight eye witness report video discredit dead young man,False,False,False,False,False,False,False,False,False,False
dear mr stephen molyneux minute bit long right respond fact btw voted thumb number not even blink tried thumb must say thing happened fair thank homework hard work obviously spent lot time present case u nice obviously care much country best,False,False,False,False,False,False,False,False,False,False
arrest,False,False,False,False,False,False,False,False,False,False
u navy vet mad respect,False,False,False,False,False,False,False,False,False,False
well damn good,False,False,False,False,False,False,False,False,False,False
thank truth speaking innocent,False,False,False,False,False,False,False,False,False,False
bassem masri criminal thug psychopath no credibility no humanity need locked jail cell time rubberroom straightjacket bassem get intellectually dishonest butt community,True,True,False,True,False,False,False,False,False,False
anyone stupid enough stand roadway run die improve gene pool,True,False,False,False,True,True,False,False,False,False
music reference sex drug stealing murder etc ya pretty much rap music like,False,False,False,False,False,False,False,False,False,False
info put mike brownwhy nobody bringing fact darrin wilson tested positive illegalmood alteringnon prescription steroid post shooting toxicology test one also wonder info given grand jury doubtful,False,False,False,False,False,False,False,False,False,False
everyone saying micheal brown deserved treyvon martin eric garner,False,False,False,False,False,False,False,False,False,False
lol look got,False,False,False,False,False,False,False,False,False,False
muslim uk black brother sister america,False,False,False,False,False,False,False,False,False,False
black want respect speak act dress like huxtable family want treated prejudice speak act dress like known gangster steal thing act like street,True,False,False,False,True,True,False,False,False,False
c blk life matter bullshitwitch call bullshit black people killed five period newark nj call bullshitb,True,True,True,True,False,False,False,False,False,False
respect,False,False,False,False,False,False,False,False,False,False
back africa still thing cause seem like really not like hereand not working outmaybe turn continent around,True,False,False,False,True,True,False,False,False,False
agree sista,False,False,False,False,False,False,False,False,False,False
dumb fuck screwing fellow citizen instead protesting police 🤦‍♂️,True,True,False,False,False,False,False,False,False,False
cop need look video start arresting people,False,False,False,False,False,False,False,False,False,False
mike brown father not buy ithe got caught video saying burn bitch reffering fergusonand dude interviwing thug not given air time,True,True,False,False,False,False,False,False,False,False
hope next video entitled truth ferguson police department ferguson riot thanks usual quality research two issue match gasoline riot control otherwise peaceful protestors homeowner refusing go inside member press clear symptom something normal small town police sanford police similar protest incuding looting resisted escalation,False,False,False,False,False,False,False,False,False,False
tax dollar get spanking new cop car 😔,False,False,False,False,False,False,False,False,False,False
urban youth could not handle truth presented video,False,False,False,False,False,False,False,False,False,False
protest converted riot majority people wanted not fooled politician play serious game common man take care everyone save humanity peace,False,False,False,False,False,False,False,False,False,False
ridiculous liberal tripe meant divide u along raceclass barrier even blacksi refuse use word african american oppressed local government community band together vote vote black live democratic republic sorry argument nothing excuse criminal stats result large black community black really need stop listening democrat preach cannot win deck stacked oppressive lifestyle never rise current condition cling liberal excuse not color skin overall presentation,False,False,False,False,False,False,False,False,False,False
guy monster got deserved color not matter anyone attack guy gun gonna get shothe stupid illegal act tried hurting someone got blasted give cop raise,True,True,False,False,False,False,False,False,False,False
gotten fire dept fire truck blast water jet would get,True,True,True,False,False,False,False,False,False,False
protestors work living get time,False,False,False,False,False,False,False,False,False,False
blacklivesmatter built deceit lie,True,True,True,False,False,False,False,False,False,False
injury cop get treated,False,False,False,False,False,False,False,False,False,False
look people black life matter like white life mike brown life lawfully ended police officer assaulted mike brown suspect aka mr brown football player ft inch not mention high marijuana officer ft inch armed baton gun telling mr brown put hand witch evidence show not shot assaulting officer say well not officer well unless police officer cannot say officer something stupid done something else officer attacked man much larger not time stop think hmmm maybe not defend maybe let kill,False,False,False,False,False,False,False,False,False,False
hahahahaha molyneux reciting rap lyric intense,False,False,False,False,False,False,False,False,False,False
deserved killed smoke weedlike fightingthrow gang sign allegedly stole cigar,False,False,False,False,False,False,False,False,False,False
stef stateless society discussion existence cop useless know cop protect state corporation take decision existence people two second waw,False,False,False,False,False,False,False,False,False,False
people fuck america american fucking hate,True,True,False,True,False,False,False,False,False,False
fuck stupid as generation id like apologize generation agree people right protest speak etc love god don’t mess people didn’t anything get petition signed write government gotta fuck everyone’s day,True,True,False,True,False,False,False,False,False,False
yeah course go college money come pel majority negro drop half way semester,False,False,False,False,False,False,False,False,False,False
best honest black people ever know,False,False,False,False,False,False,False,False,False,False
magic hamster drank lot lean never heard anyone using skittle lean jolly rancher ideal candy use not magic hamster not doubt someone using skittle lean want point houston lean quoteunquote created magic hamster prefer use jolly rancher lean,False,False,False,False,False,False,False,False,False,False
god bless lady wish people like intelligence god bless little girl lost life thug sad not single one animal care black life matter as innocent life matter,False,False,False,False,False,False,False,False,False,False
didnt police job arrest idiot blocking public road ridiculous people arrested ran stupid not freeway,True,True,True,False,False,False,False,False,False,False
no talk get fucker road period would run let sue,True,True,True,False,False,False,False,False,False,False
plain n simple truth,False,False,False,False,False,False,False,False,False,False
stefi agree fact case grey however realize cop getting caught act unjustified violence daily base getting caught video writing narrative brutality thuggery public not tolerate longer police brutality recording police dangerous necessary,False,False,False,False,False,False,False,False,False,False
not interview constitution worker caught tape saying u shot hand,False,False,False,False,False,False,False,False,False,False
think indecent unessacerry event one person shot mr brown stole something not intirely police officer fault,False,False,False,False,False,False,False,False,False,False
comment fucking ridiculous seeing video year know “hands don’t shoot” bullshit still tragedy let’s not keep exploiting man death no good come anyway shape form,True,True,False,False,False,False,False,False,False,False
plow get way,True,True,True,False,False,False,False,False,False,False
act like animal get treated like animal,True,False,False,False,True,True,False,False,False,False
cannot life understand people think mike brown martyr cause man criminal black people criminal absolutely not white criminal hispanic criminal betcha situation exactly race reversed would not issue,True,False,False,False,True,True,False,False,False,False
run,True,True,True,False,False,False,False,False,False,False
bad riot shotgun not loaded live round,True,True,True,False,False,False,False,False,False,False
live st louis scary,False,False,False,False,False,False,False,False,False,False
one race human race,False,False,False,False,False,False,False,False,False,False
always mr molyneux excellent video,False,False,False,False,False,False,False,False,False,False
cop need given wide latitude self defense considering threat face incapacitated high chance executed dam gunnoone seems care shit,True,True,False,True,False,False,False,False,False,False
thinking getting bunch fact lean not made skittle iced tea wilson not know robbery video bunch poppy cock thank wasting time,True,True,True,False,False,False,False,False,False,False
agree people arm need find information rioting thinking getting high drug robbing store carelessly walking middle street screaming cop attacking reaching gun unarmed not mention size either people gullible find funny race racist black racist white every single time someone racist black person everyone throw hand get pissed white people not racist person not want sit everyone belief white people racist people happened past make sick think grow generation,False,False,False,False,False,False,False,False,False,False
shoot first ask question later hahahahahaha,True,True,True,False,False,False,False,False,False,False
piece shit no business wearing even chp uniform,True,True,False,False,False,False,False,False,False,False
bad weapon not discharged,True,True,True,False,False,False,False,False,False,False
fact michael brown legal adult robbing store time assaulted someone store assaulted cop assault cop mostly likely go get shot racist,False,False,False,False,False,False,False,False,False,False
u justice department audited ferguson police department found count excessive use police force africanamericans addition found email containing discriminatory language department computer federal government pursuing criminal case ferguson police department wonder bob mcculloch try defend one,False,False,False,False,False,False,False,False,False,False
go girl listened twice retweeted twice first gateway pundent second youtube god bless m hubbard god speed vid,False,False,False,False,False,False,False,False,False,False
ayy cnn lookin like pussy,True,True,False,True,False,False,False,False,False,False
thought mezzican,False,False,False,False,False,False,False,False,False,False
tear gas banned geneva convention really stupid cunt also assaulted man earlier day assaulted police officer thats violent felony add big thug tell saying unarmed shouldnt shot fucker tried take cop gun already tell would outraged thug killed cop double standard one say different stupid asthese two,True,True,False,False,False,False,False,False,False,False
bassem masri terrorist part isi,True,False,False,False,True,False,False,True,False,False
come call black african american not european american white,False,False,False,False,False,False,False,False,False,False
race much news article got no national medium attention last week,False,False,False,False,False,False,False,False,False,False
can’t believe people really believe leading kind revolution,False,False,False,False,False,False,False,False,False,False
cnn propaganda part people let hear ferguson,False,False,False,False,False,False,False,False,False,False
get pay protest ask protesting no idea flow along mean would run fuck system u cant arrest drive thru arrest fuck system america ok voice right no right block traffic,True,True,True,False,False,False,False,False,False,False
lmao read dude rap best part,False,False,False,False,False,False,False,False,False,False
warning round gatling gun clear freeway instant,True,True,True,False,False,False,False,False,False,False
think fell love,False,False,False,False,False,False,False,False,False,False
good job determining occurred brown killed however occurred not simple matter racism police abuse anything mentioned question everything pull back curtain see wizard illusion one life energy sacred turn tv peace love appreciation,False,False,False,False,False,False,False,False,False,False
peggy watch life leadership revolution video people smart good mentor really think research training would great leader keep great work,False,False,False,False,False,False,False,False,False,False
understand point black life matter blocking traffic like like wth gonna people need go place hospital familywork etc plane stupid,True,True,False,False,False,False,False,False,False,False
masri total idiot not know evidence come conclusion instead clue dont attack cop try take gun rush finally get car wont get shot duhhh would masri take brown icecream beating ground not defend btw brown momma gramma violently assaulted people selling tshirts memory brown put two people hospital stole money trashed shop probably charged know sort mentality brown raised thug wanna caused death,True,True,False,False,True,True,False,False,False,False
